contig,len,hit_count,have_result,best_hit_def,best_hit_accession,best_hit_bitscore,best_hit_length,best_hit_pident,is_contam
k141_100840,517,47.0,100.0,"Moraxella osloensis strain KSH chromosome, complete genome",CP024180,822.721,458.0,99.78165938864628,True
k141_20206,1000,49.0,62.7,"Arsenicicoccus sp. oral taxon 190, complete genome",CP012070,492.704,523.0,81.45315487571702,False
k141_100843,439,50.0,54.21412300683371,Acetobacterium sp. KB-1 chromosome,CP030040,77.9295,80.0,81.25,False
k141_10108,1544,42.0,5.699481865284974,"Ralstonia solanacearum genome assembly 9 genomes, chromosome : VII",LN899825,85.143,89.0,83.14606741573034,True
k141_110917,738,49.0,100.0,"Microbacterium oxydans strain VIU2A chromosome, complete genome",CP031338,1201.43,703.0,97.86628733997156,True
k141_10111,361,42.0,74.23822714681441,"Ralstonia solanacearum genome assembly 9 genomes, chromosome : IX",LN899827,83.3396,88.0,82.95454545454545,True
k141_50459,1251,49.0,98.96083133493204,"Microbacterium oxydans strain VIU2A chromosome, complete genome",CP031338,2138.28,1225.0,98.6938775510204,True
k141_10113,323,50.0,79.87616099071208,"Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511 chromosome, complete genome",CP013987,439.505,258.0,97.67441860465117,True
k141_10117,590,50.0,87.45762711864407,"Ralstonia pickettii strain FDAARGOS_1535 chromosome 1, complete sequence",CP084359,916.496,515.0,99.41747572815534,True
k141_10118,384,50.0,100.0,"Ralstonia pickettii strain FDAARGOS_1535 chromosome 1, complete sequence",CP084359,553.117,306.0,100.0,True
k141_50470,565,50.0,96.10619469026548,Ralstonia pickettii strain FDAARGOS_1535 chromosome 2,CP084360,973.302,539.0,100.0,True
k141_10123,583,50.0,100.0,"Moraxella osloensis strain MOXF1 chromosome, complete genome",CP040257,831.738,510.0,96.27450980392156,True
k141_100856,1116,50.0,65.59139784946237,"Neorhizobium galegae strain VafX2 plasmid pNgVX, complete sequence",CP090555,69.8143,78.0,79.48717948717949,False
k141_50472,541,50.0,95.7486136783734,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,876.822,513.0,97.85575048732944,True
k141_50476,398,49.0,93.96984924623116,"Cutibacterium acnes KPA171202 chromosome, complete genome",CP025935,675.746,374.0,100.0,False
k141_80685,702,50.0,74.78632478632478,"Streptomyces antibioticus strain DSM 41481 chromosome, complete genome",CP050692,182.525,232.0,78.01724137931035,False
k141_100861,1937,50.0,98.91584925141971,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,3265.38,1915.0,97.80678851174936,True
k141_10127,737,50.0,100.0,Ralstonia pickettii strain FDAARGOS_1535 chromosome 2,CP084360,1189.71,659.0,100.0,True
k141_100864,348,50.0,83.04597701149426,"Phycicoccus endophyticus strain JCM 31784 chromosome, complete genome",CP060712,136.539,215.0,74.88372093023256,False
k141_10131,348,50.0,100.0,"Massilia sp. NP310 chromosome, complete genome",CP080379,324.991,187.0,98.39572192513369,False
k141_60540,2803,50.0,98.7513378523011,Mycobacterium intracellulare M.i.198,AP024265,4758.57,2768.0,98.121387283237,False
k141_10135,333,49.0,76.87687687687688,"Streptomyces sp. NA02536 chromosome, complete genome",CP054939,309.662,256.0,86.71875,False
k141_50484,743,50.0,97.03903095558546,Ralstonia pickettii strain FDAARGOS_1535 chromosome 2,CP084360,1289.79,717.0,99.860529986053,True
k141_10142,1043,0.0,0.0,,,,,,False
k141_100876,1470,49.0,95.91836734693878,"Microbacterium oxydans strain VIU2A chromosome, complete genome",CP031338,2471.9,1410.0,98.86524822695036,True
k141_60553,916,49.0,98.90829694323143,"Moraxella osloensis strain KSH chromosome, complete genome",CP024180,1478.25,879.0,97.26962457337883,True
k141_50488,672,50.0,96.57738095238096,"MAG: Austwickia sp. isolate Fred_18-Q3-R57-64_BATAC.85v2 chromosome, complete genome",CP064985,351.14,653.0,72.58805513016846,False
k141_10147,569,50.0,86.46748681898067,"Microbacterium oxydans strain VIU2A chromosome, complete genome",CP031338,866.002,492.0,98.98373983739836,True
k141_10148,393,50.0,91.6030534351145,"Microbacterium foliorum strain M2 chromosome, complete genome",CP041040,645.991,360.0,99.72222222222224,True
k141_60559,561,48.0,90.55258467023172,XXX,LR589131,177.115,298.0,73.48993288590604,False
k141_10151,411,0.0,0.0,,,,,,False
k141_10152,340,50.0,88.23529411764706,"Mycobacterium simiae JCM 12377 DNA, complete genome",AP022568,524.263,300.0,98.66666666666669,False
k141_10153,305,50.0,91.8032786885246,"Micrococcus luteus strain DNA1 chromosome, complete genome",CP101465,354.747,201.0,99.0049751243781,False
k141_10155,348,50.0,100.0,"Rhodococcus erythropolis strain X5 chromosome, complete genome",CP044284,491.803,272.0,100.0,False
k141_50494,429,50.0,94.17249417249415,"Microbacterium oxydans strain VIU2A chromosome, complete genome",CP031338,691.977,403.0,98.014888337469,True
k141_10157,332,50.0,55.42168674698795,"Staphylococcus pasteuri strain 3C chromosome, complete genome",CP031280,321.384,180.0,99.44444444444444,True
k141_30297,426,50.0,100.0,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,637.875,363.0,98.89807162534436,True
k141_10160,336,26.0,100.0,"Homo sapiens chromosome 8, clone RP11-343P9, complete sequence",AC040914,249.25,140.0,99.28571428571428,False
k141_50497,408,50.0,95.58823529411764,"Corynebacterium minutissimum strain NCTC10285 genome assembly, chromosome: 1",LR134339,609.022,382.0,95.28795811518324,True
k141_79,807,50.0,93.80421313506815,Mycobacterium intracellulare M.i.198,AP024265,1245.61,757.0,96.30118890356673,False
k141_60566,940,50.0,44.8936170212766,"Syntrophus aciditrophicus SB, complete genome",CP000252,189.738,254.0,76.77165354330708,False
k141_30304,874,50.0,95.65217391304348,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,1360.12,844.0,95.73459715639812,True
k141_10166,924,50.0,32.467532467532465,"Enterococcus faecium isolate E4413 genome assembly, chromosome: 1",LR135185,141.949,78.0,100.0,True
k141_10167,355,50.0,57.183098591549296,"Enterococcus faecium isolate E4413 genome assembly, chromosome: 1",LR135185,141.949,78.0,100.0,True
k141_10169,437,50.0,90.38901601830663,"Ralstonia pickettii strain FDAARGOS_1535 chromosome 1, complete sequence",CP084359,644.187,359.0,99.72144846796655,True
k141_60571,1465,0.0,0.0,,,,,,False
k141_100894,1257,50.0,95.54494828957836,"Microbacterium foliorum strain M2 chromosome, complete genome",CP041040,2141.89,1197.0,99.66583124477862,True
k141_50507,446,47.0,94.84304932735428,Mycobacterium fortuitum subsp. fortuitum DSM 46621 = ATCC 6841 genome,CP014258,677.55,420.0,95.71428571428572,False
k141_88,353,50.0,76.48725212464589,"Staphylococcus hominis subsp. hominis strain WiKim0113 chromosome, complete genome",CP080457,443.112,270.0,96.29629629629628,True
k141_20216,335,10.0,96.4179104477612,"Mycobacterium avium subsp. hominissuis strain OCU889s_P11_4s chromosome, complete genome",CP018019,530.575,296.0,99.66216216216216,False
k141_100896,390,50.0,86.15384615384616,Eukaryotic synthetic construct chromosome 20 >gi|1549098600|gb|CP034524.1| Eukaryotic synthetic construct chromosome 20,CP034499,465.654,328.0,91.76829268292684,False
k141_60573,387,10.0,98.19121447028424,"Clostridiales bacterium strain MT110 chromosome, complete genome",CP042469,239.331,361.0,75.06925207756233,False
k141_60574,462,50.0,18.181818181818183,"Ralstonia solanacearum genome assembly 9 genomes, chromosome : IX",LN899827,66.2076,89.0,78.65168539325843,False
k141_94,401,50.0,91.02244389027432,"Mycobacterium intracellulare subsp. chimaera strain AUSMDU00007395 chromosome, complete genome",CP045963,659.516,365.0,100.0,False
k141_80706,1626,50.0,71.58671586715867,MAG: Gemmatimonadetes bacterium isolate bin29 chromosome,CP070758,114.899,248.0,70.16129032258064,False
k141_60582,458,50.0,80.56768558951966,"Mycobacterium sp. Aquia_216 chromosome, complete genome",CP113529,284.415,367.0,77.11171662125341,False
k141_100905,712,0.0,0.0,,,,,,False
k141_98,351,49.0,98.57549857549856,Mycobacteroides chelonae strain M77 chromosome,CP041150,569.347,315.0,100.0,False
k141_50516,1377,49.0,40.2323892519971,"Arsenicicoccus sp. oral taxon 190, complete genome",CP012070,165.393,226.0,76.10619469026548,False
k141_50518,302,50.0,83.7748344370861,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,448.522,253.0,99.2094861660079,True
k141_110921,515,50.0,92.62135922330096,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,856.985,477.0,99.79035639412996,True
k141_99,2550,49.0,97.6078431372549,"Mycobacterium kubicae strain JCM 13573 plasmid pJCM_13573_2, complete sequence",CP065049,3122.92,1751.0,99.54311821816106,False
k141_60587,2096,50.0,64.69465648854961,"Methylomusa anaerophila DNA, complete genome",AP018449,544.1,1357.0,69.63890935887989,False
k141_60588,552,48.0,87.68115942028986,"Mycolicibacterium smegmatis strain Nishi chromosome, complete genome",CP080273,590.086,484.0,86.98347107438016,False
k141_60590,307,50.0,87.62214983713355,"Clostridiales bacterium strain MT110 chromosome, complete genome",CP042469,135.637,265.0,72.45283018867924,False
k141_60592,349,47.0,100.0,"Cutibacterium acnes strain PA_15_2_L1 chromosome, complete genome",CP012352,509.836,282.0,100.0,False
k141_106,343,50.0,89.79591836734694,"Mycobacterium sp. 20KCMC460 plasmid p20KCMC460_01 DNA, complete genome",AP025525,394.421,309.0,88.9967637540453,False
k141_100915,1775,50.0,92.90140845070422,"Microbacterium foliorum strain M2 chromosome, complete genome",CP041040,2941.68,1648.0,99.5752427184466,True
k141_100918,1535,50.0,95.2442996742671,"Microbacterium oxydans strain VIU2A chromosome, complete genome",CP031338,2373.62,1453.0,96.21472814865795,True
k141_30354,308,50.0,99.35064935064936,"Lysinibacillus macroides strain FDAARGOS_925 chromosome, complete genome",CP065643,284.415,157.0,100.0,False
k141_50525,360,50.0,100.0,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,476.474,271.0,98.8929889298893,True
k141_100925,1138,50.0,99.64850615114236,"Arsenicicoccus sp. oral taxon 190, complete genome",CP012070,796.572,1082.0,76.70979667282809,False
k141_131,1677,50.0,93.7984496124031,"Mycobacterium intracellulare strain S2-11 chromosome, complete genome",CP076379,1762.28,1563.0,85.09277031349968,False
k141_138,486,49.0,98.97119341563786,"Mycobacterium simiae JCM 12377 DNA, complete genome",AP022568,727.142,450.0,95.77777777777776,False
k141_100933,329,50.0,43.76899696048632,"Enterococcus faecium isolate E4413 genome assembly, chromosome: 1",LR135185,111.292,61.0,100.0,True
k141_144,452,40.0,92.2566371681416,"Mycobacterium kansasii strain FDAARGOS_1534 plasmid unnamed2, complete sequence",CP084366,518.853,307.0,97.3941368078176,False
k141_10178,1202,0.0,0.0,,,,,,False
k141_149,506,49.0,92.88537549407114,"Mycobacterium simiae JCM 12377 DNA, complete genome",AP022568,808.294,470.0,98.08510638297872,False
k141_100938,380,50.0,84.47368421052632,Ralstonia pickettii strain FDAARGOS_1535 chromosome 2,CP084360,574.758,318.0,100.0,True
k141_152,1327,50.0,92.08741522230596,"Methylomusa anaerophila DNA, complete genome",AP018449,257.365,1201.0,65.44546211490425,False
k141_90770,381,49.0,81.88976377952756,"Corynebacterium minutissimum strain NCTC10285 genome assembly, chromosome: 1",LR134339,523.362,312.0,97.1153846153846,True
k141_157,694,50.0,93.37175792507205,"Mycobacterium intracellulare subsp. chimaera strain AUSMDU00007395 chromosome, complete genome",CP045963,1165.36,648.0,99.84567901234568,False
k141_50536,1374,50.0,100.0,Microbacterium foliorum strain 122 chromosome,CP019892,2432.23,1348.0,100.0,True
k141_60600,866,50.0,92.26327944572748,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,1319.55,800.0,96.75,True
k141_50539,344,50.0,92.15116279069768,"Microlunatus elymi strain KUDC0627 chromosome, complete genome",CP041692,192.443,297.0,74.74747474747475,False
k141_10181,372,50.0,30.913978494623656,"Enterococcus faecium isolate E4413 genome assembly, chromosome: 1",LR135185,141.949,78.0,100.0,True
k141_50544,911,50.0,86.60812294182217,"Ralstonia pickettii strain FDAARGOS_1535 chromosome 1, complete sequence",CP084359,1002.16,690.0,92.17391304347828,True
k141_175,335,34.0,96.4179104477612,"Staphylococcus pasteuri strain JS7 chromosome, complete genome",CP017463,419.668,237.0,99.15611814345992,True
k141_50552,489,0.0,0.0,,,,,,False
k141_50557,345,50.0,91.8840579710145,"Dermatophilus congolensis strain NCTC13039 genome assembly, chromosome: 1",LT906453,84.2413,197.0,71.06598984771574,False
k141_50562,386,49.0,93.26424870466322,"Cutibacterium acnes SZ2 DNA, complete genome",AP022845,650.499,360.0,100.0,False
k141_189,517,50.0,99.61315280464216,"Ralstonia insidiosa strain 15-1563-3 plasmid pB1901, complete sequence",CP093305,780.342,437.0,99.54233409610984,True
k141_50579,1284,49.0,97.97507788161994,"Cutibacterium acnes TP-CU389 DNA, complete genome",AP019664,2238.37,1258.0,99.44356120826708,False
k141_20246,442,50.0,86.19909502262443,"Ralstonia pickettii strain FDAARGOS_1535 chromosome 1, complete sequence",CP084359,688.37,381.0,100.0,True
k141_50589,788,50.0,96.95431472081218,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,1347.5,764.0,99.08376963350786,True
k141_10183,336,50.0,100.0,"Janibacter melonis strain M714 chromosome, complete genome",CP044548,162.688,258.0,75.1937984496124,False
k141_10188,494,50.0,21.86234817813765,"Enterococcus faecium isolate E4413 genome assembly, chromosome: 1",LR135185,141.949,78.0,100.0,True
k141_10190,350,49.0,77.71428571428571,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,379.092,254.0,92.1259842519685,True
k141_20261,1859,49.0,97.36417428725122,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,2910.12,1702.0,98.00235017626322,True
k141_111024,560,50.0,96.42857142857144,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,920.103,532.0,98.30827067669172,True
k141_111025,639,50.0,96.24413145539906,"Microbacterium oxydans strain VIU2A chromosome, complete genome",CP031338,1099.54,609.0,100.0,True
k141_10193,316,50.0,44.936708860759495,"Enterococcus faecium isolate E4413 genome assembly, chromosome: 1",LR135185,141.949,78.0,100.0,True
k141_10195,319,50.0,95.29780564263324,"Mycobacterium intracellulare subsp. chimaera strain FLAC0070 chromosome, complete genome",CP023151,402.536,275.0,92.36363636363636,False
k141_10196,395,50.0,94.68354430379746,"Janibacter melonis strain M714 chromosome, complete genome",CP044548,159.983,172.0,81.3953488372093,False
k141_10198,338,50.0,29.881656804733726,"Enterococcus faecium isolate E4413 genome assembly, chromosome: 1",LR135185,141.949,78.0,100.0,True
k141_40409,337,47.0,78.63501483679525,"Escherichia coli strain T7Express_LysY chromosome, complete genome",CP053597,479.179,265.0,100.0,False
k141_30378,344,50.0,100.0,"Corynebacterium minutissimum strain NCTC10285 genome assembly, chromosome: 1",LR134339,524.263,315.0,96.82539682539682,True
k141_30381,435,50.0,86.89655172413794,"Mycobacterium intracellulare subsp. chimaera strain FLAC0070 chromosome, complete genome",CP023151,660.418,378.0,98.67724867724868,False
k141_10206,583,50.0,68.26758147512865,"Enterococcus faecium isolate E4413 genome assembly, chromosome: 1",LR135185,141.949,78.0,100.0,True
k141_20268,598,50.0,100.0,"Microbacterium foliorum strain M2 chromosome, complete genome",CP041040,959.777,539.0,99.443413729128,True
k141_60608,3623,50.0,99.75158708252827,"Dietzia sp. DQ12-45-1b chromosome, complete genome",CP046567,4479.05,3620.0,87.56906077348066,False
k141_232,955,50.0,85.86387434554973,Pseudomonas psychrotolerans strain YY7 plasmid unnamed1,CP102429,1480.05,820.0,100.0,True
k141_10214,568,50.0,44.894366197183096,"Streptomyces sp. MRC013 chromosome, complete genome",CP094264,183.427,191.0,81.15183246073299,False
k141_234,530,50.0,87.16981132075472,"Microbacterium foliorum strain M2 chromosome, complete genome",CP041040,784.85,462.0,97.61904761904762,True
k141_50608,1975,39.0,5.569620253164557,"Ralstonia solanacearum genome assembly 9 genomes, chromosome : I",LN899819,59.8958,51.0,88.23529411764706,True
k141_237,385,50.0,77.40259740259741,Priestia megaterium strain Ag87 chromosome,CP098610,520.657,298.0,98.65771812080536,False
k141_50610,1027,50.0,99.51314508276532,"Moraxella osloensis strain KSH plasmid p1, complete sequence",CP024181,499.918,323.0,94.73684210526316,True
k141_239,476,34.0,100.0,"Staphylococcus pasteuri strain JS7 chromosome, complete genome",CP017463,624.35,348.0,99.71264367816092,True
k141_100977,301,49.0,86.37873754152824,"Propionibacterium acnes TypeIA2 P.acn17, complete genome",CP003196,470.162,260.0,100.0,True
k141_111053,444,50.0,86.03603603603604,"Corynebacterium sp. FDAARGOS 1242 strain FDAARGOS_1242 chromosome, complete genome",CP069568,681.156,382.0,99.47643979057592,True
k141_10222,873,49.0,90.26345933562428,"Ornithinimicrobium flavum strain CPCC 203535 chromosome, complete genome",CP038213,698.288,769.0,80.1040312093628,False
k141_242,533,48.0,88.74296435272045,Homo sapiens 12 BAC RP11-286J13 (Roswell Park Cancer Institute Human BAC Library) complete sequence,AC092936,459.342,419.0,84.96420047732697,False
k141_10225,627,0.0,0.0,,,,,,False
k141_247,319,50.0,70.84639498432603,Ralstonia pickettii strain FDAARGOS_1535 chromosome 2,CP084360,408.848,226.0,100.0,True
k141_10226,1194,43.0,71.27303182579564,"Pelosinus fermentans JBW45, complete genome",CP010978,100.472,566.0,64.66431095406361,False
k141_60617,1372,50.0,56.19533527696793,"Pseudomonas psychrotolerans strain CS51 chromosome, complete genome",CP021645,475.572,488.0,81.9672131147541,True
k141_10227,329,50.0,63.82978723404256,"Leucobacter muris strain DSM 101948 chromosome, complete genome",CP035037,195.148,180.0,83.88888888888889,False
k141_10229,350,47.0,78.28571428571429,"Escherichia coli strain CM13 chromosome, complete genome",CP114893,495.409,274.0,100.0,False
k141_10231,395,50.0,81.0126582278481,"Mycobacterium intracellulare subsp. chimaera strain AUSMDU00007395 chromosome, complete genome",CP045963,555.822,320.0,98.4375,False
k141_60623,445,47.0,91.23595505617978,"Arthrobacter sp. ZXY-2 plasmid pZXY24, complete sequence",CP017425,152.769,339.0,69.91150442477876,False
k141_100993,314,49.0,86.62420382165605,"Cutibacterium acnes SZ2 DNA, complete genome",AP022845,491.803,272.0,100.0,False
k141_60629,576,50.0,100.0,"Gephyromycinifex aptenodytis strain NJES-13 chromosome, complete genome",CP051155,413.356,496.0,78.4274193548387,False
k141_10234,490,49.0,97.14285714285714,"Cutibacterium acnes TP-CU389 DNA, complete genome",AP019664,692.878,391.0,99.23273657289002,False
k141_60634,343,47.0,25.364431486880463,Staphylococcus aureus strain SA112 chromosome,CP020553,122.112,67.0,100.0,True
k141_100995,496,50.0,91.73387096774194,"Dietzia sp. DQ12-45-1b chromosome, complete genome",CP046567,745.176,455.0,96.26373626373626,False
k141_60639,418,49.0,100.0,"Mycobacterium avium subsp. hominissuis JP-H-1 plasmid: p1-JPH1, complete sequence",AP020327,366.468,350.0,83.14285714285714,False
k141_101002,306,49.0,100.0,"Ralstonia pickettii strain FDAARGOS_1535 chromosome 1, complete sequence",CP084359,486.393,274.0,99.27007299270072,True
k141_60643,399,48.0,100.0,"Mycobacterium sp. JS623 plasmid pMYCSM03, complete sequence",CP003081,196.952,246.0,77.64227642276423,False
k141_253,463,50.0,85.7451403887689,"Mycobacterium simiae JCM 12377 DNA, complete genome",AP022568,700.092,395.0,99.24050632911391,False
k141_254,308,37.0,97.72727272727272,"Pantoea agglomerans strain ASB05 chromosome, complete genome",CP046722,302.449,167.0,100.0,False
k141_101007,469,47.0,93.17697228144988,"Escherichia coli strain SCU-124 chromosome, complete genome",CP051706,771.325,437.0,99.08466819221968,False
k141_101009,498,50.0,97.18875502008032,"Janibacter indicus strain YFY001 chromosome, complete genome",CP013290,169.901,286.0,74.82517482517483,False
k141_101010,773,45.0,99.48253557567917,"Capnocytophaga gingivalis strain H1496 chromosome, complete genome",CP022386,1192.41,688.0,98.40116279069768,False
k141_30428,1526,50.0,94.6264744429882,"Staphylococcus hominis strain FDAARGOS_748 plasmid unnamed1, complete sequence",CP054881,2600.84,1444.0,99.93074792243767,True
k141_101014,355,49.0,100.0,"Ralstonia pickettii strain FDAARGOS_1535 plasmid unnamed1, complete sequence",CP084361,583.774,323.0,100.0,True
k141_264,694,50.0,94.81268011527378,"Mycobacteroides abscessus JCM 30620 DNA, nearly complete genome",AP022621,1127.49,627.0,99.84051036682617,False
k141_80788,421,49.0,84.08551068883611,"Homo sapiens BAC clone RP11-148A10 from 7, complete sequence",AC007558,551.314,342.0,95.906432748538,False
k141_60655,838,50.0,95.70405727923628,"Mycobacteroides abscessus strain FLAC055 chromosome, complete genome",CP016193,1360.12,771.0,99.09208819714657,False
k141_101024,435,50.0,94.71264367816092,"Microbacterium sp. PAMC22086 chromosome, complete genome",CP080380,744.274,412.0,100.0,True
k141_70623,1226,50.0,90.61990212071778,"Moraxella osloensis strain TT16 chromosome, complete genome",CP024185,1901.14,1111.0,97.92979297929791,True
k141_101025,839,49.0,74.49344457687724,Bacterium BFN5 strain BFN5 chromosome,CP053389,99.5699,441.0,66.21315192743764,False
k141_111080,1242,49.0,41.46537842190016,Bacterium BFN5 strain BFN5 chromosome,CP053389,157.278,384.0,70.05208333333333,False
k141_10240,1231,50.0,93.01380991064175,"Capnocytophaga gingivalis strain H1496 chromosome, complete genome",CP022386,1874.99,1150.0,96.43478260869566,False
k141_111085,315,36.0,100.0,"Staphylococcus pasteuri strain 3C chromosome, complete genome",CP031280,319.581,179.0,99.44134078212292,True
k141_101026,1538,50.0,97.98439531859556,"Microbacterium sp. PAMC22086 chromosome, complete genome",CP080380,2696.42,1507.0,99.66821499668217,True
k141_279,754,49.0,100.0,"Microbacterium sp. 1.5R, complete genome",CP018151,979.614,705.0,90.78014184397163,True
k141_20274,31250,0.0,0.0,,,,,,False
k141_80795,664,50.0,86.59638554216868,"Priestia megaterium strain 5-3 chromosome, complete genome",CP047699,1020.19,575.0,99.30434782608695,False
k141_111093,321,49.0,88.1619937694704,Cutibacterium acnes strain A1-14 chromosome,CP013693,498.114,283.0,98.93992932862191,False
k141_70632,309,50.0,86.73139158576052,"Olsenella uli DSM 7084, complete genome",CP002106,475.572,268.0,99.25373134328358,False
k141_281,1081,50.0,92.41443108233118,"Priestia megaterium strain BIM B-1314D chromosome, complete genome",CP058262,1771.29,999.0,99.29929929929928,False
k141_60664,611,50.0,89.03436988543372,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,955.268,544.0,98.8970588235294,True
k141_10246,959,50.0,92.17935349322212,"Streptococcus anginosus strain NCTC10713 genome assembly, chromosome: 1",LR134283,1514.31,884.0,97.96380090497738,True
k141_10249,464,50.0,83.62068965517241,"Staphylococcus haemolyticus strain VB5326 chromosome, complete genome",CP045137,676.648,387.0,98.70801033591732,True
k141_20280,922,50.0,93.8177874186551,"Moraxella osloensis DNA, complete genome, strain: KMC41",AP017381,1448.49,865.0,97.10982658959536,True
k141_283,1507,49.0,95.5540809555408,"Rhodococcus qingshengii strain VT6 plasmid pLP1, complete sequence",CP088909,2598.14,1440.0,100.0,False
k141_70635,492,50.0,100.0,"Streptococcus mitis strain SVGS_061 chromosome, complete genome",CP014326,480.982,386.0,87.56476683937824,True
